date_日期,price_价格,title_名称,lowerPrice_最低价格,lowerDate_最低价格日期,itemurl_商品链接
2023-09-03,899.0,科大讯飞AI智能键盘 机械键盘 无线蓝牙键盘 AI写作问答智能PPT 全键无冲 三模连接 T8星火版红轴,648.9,2024-10-21,http://item.jd.com/100064822754.html
2023-09-03,899.0,科大讯飞AI智能键盘 机械键盘 无线蓝牙键盘 AI写作问答智能PPT 全键无冲 三模连接 T8星火版红轴,648.9,2024-10-21,http://item.jd.com/100064822754.html
2023-09-04,899.0,科大讯飞AI智能键盘 机械键盘 无线蓝牙键盘 AI写作问答智能PPT 全键无冲 三模连接 T8星火版红轴,648.9,2024-10-21,http://item.jd.com/100064822754.html
2023-09-04,899.0,科大讯飞AI智能键盘 机械键盘 无线蓝牙键盘 AI写作问答智能PPT 全键无冲 三模连接 T8星火版红轴,648.9,2024-10-21,http://item.jd.com/100064822754.html
2023-09-05,899.0,科大讯飞AI智能键盘 机械键盘 无线蓝牙键盘 AI写作问答智能PPT 全键无冲 三模连接 T8星火版红轴,648.9,2024-10-21,http://item.jd.com/100064822754.html
2023-09-05,899.0,科大讯飞AI智能键盘 机械键盘 无线蓝牙键盘 AI写作问答智能PPT 全键无冲 三模连接 T8星火版红轴,648.9,2024-10-21,http://item.jd.com/100064822754.html
2023-09-06,899.0,科大讯飞AI智能键盘 机械键盘 无线蓝牙键盘 AI写作问答智能PPT 全键无冲 三模连接 T8星火版红轴,648.9,2024-10-21,http://item.jd.com/100064822754.html
2023-09-06,899.0,科大讯飞AI智能键盘 机械键盘 无线蓝牙键盘 AI写作问答智能PPT 全键无冲 三模连接 T8星火版红轴,648.9,2024-10-21,http://item.jd.com/100064822754.html
2023-09-07,899.0,科大讯飞AI智能键盘 机械键盘 无线蓝牙键盘 AI写作问答智能PPT 全键无冲 三模连接 T8星火版红轴,648.9,2024-10-21,http://item.jd.com/100064822754.html
2023-09-07,899.0,科大讯飞AI智能键盘 机械键盘 无线蓝牙键盘 AI写作问答智能PPT 全键无冲 三模连接 T8星火版红轴,648.9,2024-10-21,http://item.jd.com/100064822754.html
2023-09-08,899.0,科大讯飞AI智能键盘 机械键盘 无线蓝牙键盘 AI写作问答智能PPT 全键无冲 三模连接 T8星火版红轴,648.9,2024-10-21,http://item.jd.com/100064822754.html
2023-09-08,899.0,科大讯飞AI智能键盘 机械键盘 无线蓝牙键盘 AI写作问答智能PPT 全键无冲 三模连接 T8星火版红轴,648.9,2024-10-21,http://item.jd.com/100064822754.html
2023-09-09,899.0,科大讯飞AI智能键盘 机械键盘 无线蓝牙键盘 AI写作问答智能PPT 全键无冲 三模连接 T8星火版红轴,648.9,2024-10-21,http://item.jd.com/100064822754.html
2023-09-09,899.0,科大讯飞AI智能键盘 机械键盘 无线蓝牙键盘 AI写作问答智能PPT 全键无冲 三模连接 T8星火版红轴,648.9,2024-10-21,http://item.jd.com/100064822754.html
2023-09-10,899.0,科大讯飞AI智能键盘 机械键盘 无线蓝牙键盘 AI写作问答智能PPT 全键无冲 三模连接 T8星火版红轴,648.9,2024-10-21,http://item.jd.com/100064822754.html
